Country,WorkExp,EdLevel,DevType,RemoteWork,Age,OrgSize,LanguageHaveWorkedWith,ConvertedCompYearly
Ukraine,8.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",Remote,25-34 years old,20 to 99 employees,Bash/Shell (all shells);Dart;SQL,61256.0
Netherlands,2.0,"Associate degree (A.A., A.S., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,500 to 999 employees,Java,104413.0
Ukraine,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,35-44 years old,"10,000 or more employees",Java;Kotlin;SQL,36197.0
Ukraine,22.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Architect, software or solutions",Remote,35-44 years old,Less than 20 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,72000.0
Ukraine,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,Remote,25-34 years old,"5,000 to 9,999 employees",Java;Python;Scala,70000.0
Ukraine,7.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,25-34 years old,100 to 499 employees,HTML/CSS;Java;JavaScript;SQL;TypeScript,65691.0
Ukraine,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,18-24 years old,100 to 499 employees,C#,14400.0
United States of America,7.0,Some college/university study without earning a degree,"Developer, full-stack",Remote,25-34 years old,100 to 499 employees,C#;C++;JavaScript;Python;Visual Basic (.Net),87500.0
Sweden,24.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",45-54 years old,"1,000 to 4,999 employees",C#;Java;Python;SQL,209643.0
Dominican Republic,13.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",Remote,35-44 years old,Less than 20 employees,HTML/CSS;JavaScript;Python;TypeScript,78000.0
United States of America,19.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",Remote,35-44 years old,500 to 999 employees,Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,205000.0
United States of America,17.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,100 to 499 employees,Elixir;HTML/CSS;JavaScript;SQL;TypeScript,250000.0
United States of America,24.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,"Hybrid (some remote, leans heavy to in-person)",45-54 years old,"5,000 to 9,999 employees",C#;Python;SQL,175000.0
Germany,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,95132.0
United States of America,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",In-person,35-44 years old,"10,000 or more employees",Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Fortran;Java;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),109000.0
United Kingdom of Great Britain and Northern Ireland,25.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,45-54 years old,Less than 20 employees,C#;HTML/CSS;SQL;TypeScript,91215.0
United States of America,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",45-54 years old,100 to 499 employees,HTML/CSS;JavaScript;Ruby;SQL,150000.0
United States of America,33.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,500 to 999 employees,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,99999.0
United States of America,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",Remote,45-54 years old,Less than 20 employees,HTML/CSS;JavaScript;Python;TypeScript,270000.0
United States of America,25.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",Remote,35-44 years old,"10,000 or more employees",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Swift;TypeScript;Visual Basic (.Net),250000.0
Czech Republic,8.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, game or graphics",Remote,25-34 years old,100 to 499 employees,C#;C++;Python,43810.0
Hungary,20.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",AI/ML engineer,"Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,20 to 99 employees,Java;MATLAB;OCaml;Python;Scala,80966.0
Malaysia,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,100 to 499 employees,Go;Java;JavaScript;Python;TypeScript,28275.0
United Kingdom of Great Britain and Northern Ireland,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Senior executive (C-suite, VP, etc.)",Remote,35-44 years old,20 to 99 employees,C#;Elixir;HTML/CSS;JavaScript;SQL;TypeScript,142949.0
Switzerland,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Academic researcher,"Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,117793.0
Germany,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, game or graphics","Hybrid (some remote, leans heavy to in-person)",35-44 years old,Less than 20 employees,C#;JavaScript,75410.0
Netherlands,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, game or graphics","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,100 to 499 employees,C#;C++;Lua;PowerShell;Python;R,81210.0
Egypt,20.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions","Hybrid (some remote, leans heavy to in-person)",35-44 years old,100 to 499 employees,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;Zig,63909.0
United States of America,8.0,Some college/university study without earning a degree,"Developer, full-stack",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,151000.0
Netherlands,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,100 to 499 employees,HTML/CSS;JavaScript;PHP;SQL;TypeScript,83531.0
Austria,3.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications","Hybrid (some remote, leans heavy to in-person)",18-24 years old,"5,000 to 9,999 employees",Assembly;C++;Groovy;Java;JavaScript;Kotlin;Rust;TypeScript,46406.0
United States of America,45.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,"Hybrid (some in-person, leans heavy to flexibility)",65 years or older,"5,000 to 9,999 employees",Assembly;Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MicroPython;PHP;PowerShell;Python;SQL,6000.0
Poland,4.0,Some college/university study without earning a degree,Other (please specify):,"Your choice (very flexible, you can come in when you want or just as needed)",18-24 years old,"10,000 or more employees",Assembly;Bash/Shell (all shells);C;C++;Go;Python;Swift,62767.0
United Kingdom of Great Britain and Northern Ireland,20.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,45-54 years old,20 to 99 employees,C#;F#;HTML/CSS;JavaScript;SQL,151117.0
Spain,17.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,35-44 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);Java;SQL,67289.0
United States of America,26.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,45-54 years old,"1,000 to 4,999 employees",HTML/CSS;JavaScript;Ruby;SQL;TypeScript,245000.0
Serbia,1.0,Some college/university study without earning a degree,"Developer, embedded applications or devices","Your choice (very flexible, you can come in when you want or just as needed)",18-24 years old,Less than 20 employees,Bash/Shell (all shells);C;C++;GDScript;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,14850.0
Sweden,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",25-34 years old,"1,000 to 4,999 employees",Groovy;Java,75472.0
France,31.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,"Hybrid (some remote, leans heavy to in-person)",45-54 years old,"Just me - I am a freelancer, sole proprietor, etc.",JavaScript;Python;R;SQL;TypeScript;VBA,174022.0
Switzerland,22.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Cybersecurity or InfoSec professional,"Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,20 to 99 employees,C;Python;Rust;SQL,210788.0
United States of America,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",25-34 years old,100 to 499 employees,C++;Java;Python,150000.0
United Kingdom of Great Britain and Northern Ireland,36.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Engineering manager,"Hybrid (some in-person, leans heavy to flexibility)",55-64 years old,Less than 20 employees,Bash/Shell (all shells);HTML/CSS;Python;SQL,115720.0
Canada,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,100 to 499 employees,C++;PowerShell,72958.0
United Arab Emirates,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",Remote,35-44 years old,20 to 99 employees,Dart,13615.0
United States of America,12.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,20 to 99 employees,Bash/Shell (all shells);PowerShell,116000.0
Belgium,9.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,20 to 99 employees,C#;Dart;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript,87011.0
United States of America,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,500 to 999 employees,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,90000.0
Brazil,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,Less than 20 employees,Assembly;Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,36407.0
Italy,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, AI apps or physical AI",Remote,35-44 years old,"5,000 to 9,999 employees",C;C++;Python;Rust,139218.0
Spain,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",In-person,18-24 years old,100 to 499 employees,Assembly;Bash/Shell (all shells);C;C++;Python,25523.0
Argentina,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,Less than 20 employees,Ada;Bash/Shell (all shells);Python,13649.0
United Kingdom of Great Britain and Northern Ireland,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices","Hybrid (some remote, leans heavy to in-person)",35-44 years old,"5,000 to 9,999 employees",Ada;Bash/Shell (all shells);C;C++,81685.0
Belgium,33.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, AI apps or physical AI",Remote,45-54 years old,"1,000 to 4,999 employees",C;C++;Lua;Python;SQL,167061.0
United States of America,26.0,Some college/university study without earning a degree,DevOps engineer or professional,Remote,45-54 years old,100 to 499 employees,Bash/Shell (all shells);Go;HTML/CSS;Perl;PHP;PowerShell;Python;SQL,195000.0
Bangladesh,3.0,Some college/university study without earning a degree,"Developer, full-stack",In-person,25-34 years old,"1,000 to 4,999 employees",C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,8509.0
Germany,26.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,Less than 20 employees,Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,145018.0
United States of America,25.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,20 to 99 employees,C#;SQL,155000.0
Canada,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,Less than 20 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,80254.0
Italy,17.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end",Remote,35-44 years old,100 to 499 employees,Bash/Shell (all shells);JavaScript;Lua;Python;SQL;TypeScript,83531.0
Canada,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,109438.0
Norway,21.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",45-54 years old,100 to 499 employees,C#;PowerShell;SQL,87561.0
United States of America,30.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",Remote,55-64 years old,Less than 20 employees,HTML/CSS;JavaScript;Python;SQL,75000.0
United States of America,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,20 to 99 employees,Bash/Shell (all shells);C#;C++;F#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,131000.0
United States of America,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,Less than 20 employees,C#;JavaScript;Kotlin;PowerShell;SQL;TypeScript;Visual Basic (.Net),120000.0
Germany,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Other (please specify):,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);C;C++;Fortran;Python,81210.0
Belgium,1.0,Some college/university study without earning a degree,"Developer, full-stack",Remote,18-24 years old,Less than 20 employees,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,48726.0
Spain,4.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,"Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"1,000 to 4,999 employees",HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,41765.0
Canada,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,"Hybrid (some remote, leans heavy to in-person)",45-54 years old,500 to 999 employees,Bash/Shell (all shells);C++;COBOL;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Visual Basic (.Net),71499.0
United States of America,45.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",65 years or older,"Just me - I am a freelancer, sole proprietor, etc.",C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),45000.0
Canada,22.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,45-54 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C#;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Swift;TypeScript,65663.0
Canada,16.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",Remote,35-44 years old,100 to 499 employees,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,113085.0
Switzerland,8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,Less than 20 employees,HTML/CSS;JavaScript;Python;SQL;TypeScript,94235.0
Spain,7.0,Some college/university study without earning a degree,"Developer, front-end",Remote,25-34 years old,Less than 20 employees,HTML/CSS;JavaScript;PHP;SQL;TypeScript,440856.0
United States of America,20.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Cloud infrastructure engineer,Remote,35-44 years old,"10,000 or more employees",C#;HTML/CSS;JavaScript;Python;TypeScript,295000.0
Netherlands,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,20 to 99 employees,Bash/Shell (all shells);Java;Kotlin;Python;SQL,113694.0
United States of America,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",In-person,18-24 years old,100 to 499 employees,Bash/Shell (all shells);C++;Go;Java;JavaScript;Perl;PHP;Python;SQL;TypeScript,80000.0
United States of America,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,45-54 years old,"1,000 to 4,999 employees",C#;Go;PowerShell;Python;TypeScript,350000.0
Italy,3.0,Some college/university study without earning a degree,"Developer, mobile",Remote,18-24 years old,100 to 499 employees,Dart;Java;JavaScript;SQL,39445.0
